00:31.612  render           | Fra: 5 | Mem: 26M | Sample 12/12
00:31.612  render           | Fra: 5 | Mem: 26M | Finished
00:31.703  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0005.png'
00:31.703  render           | Time: 00:05.76 (Saving: 00:00.05)
00:31.703  render           | Rendering frame 6
00:31.704  render           | Start rendering: Scene, ViewLayer
00:31.704  render           | Engine: Cycles
00:31.706  render           | Fra: 6 | Mem: 0M | Synchronizing object | Orbita principal
00:31.706  render           | Fra: 6 | Mem: 0M | Synchronizing object | Cyan
00:31.707  render           | Fra: 6 | Mem: 0M | Synchronizing object | Key
00:31.707  render           | Fra: 6 | Mem: 0M | Synchronizing object | Plane
00:31.707  render           | Fra: 6 | Mem: 0M | Synchronizing object | Detalhe champagne
00:31.707  render           | Fra: 6 | Mem: 0M | Synchronizing object | Arco mineral
00:31.707  render           | Fra: 6 | Mem: 0M | Initializing
00:31.708  render           | Fra: 6 | Mem: 0M | Waiting for render to start
00:31.708  render           | Fra: 6 | Mem: 0M | Updating Scene
00:31.708  render           | Fra: 6 | Mem: 0M | Updating Shaders
00:31.708  render           | Fra: 6 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Procedurals
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Background
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Scene Attribute
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Camera
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Meshes Flags
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Objects
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Objects | Copying Transformations to device
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Particle Systems
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Meshes
00:31.708  render           | Fra: 6 | Mem: 1M | Updating Objects | Applying Static Transformations
00:31.709  render           | Fra: 6 | Mem: 1M | Updating Scene BVH | Building
00:31.709  render           | Fra: 6 | Mem: 1M | Updating Scene BVH | Building BVH
00:31.709  render           | Fra: 6 | Mem: 1M | Updating Scene BVH | Building BVH 0%
00:31.716  render           | Fra: 6 | Mem: 1M | Updating Scene BVH | Copying BVH to device
00:31.717  render           | Fra: 6 | Mem: 1M | Updating Mesh | Computing attributes
